"kpi_id","mandant","mandant_name","branche","wert"
15,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1969
15,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.1858
15,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",0.7117
15,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.7519
15,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4678
15,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.3638
15,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",0.661
15,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.1869
15,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1696
15,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.178
15,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.1148
15,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0746
15,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0846
15,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.3691
15,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0531
15,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0212
15,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0743
15,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.1614
15,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0664
15,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0564
15,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.2167
15,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.3521
15,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.363
